"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"50","Q35_2","~","Q65_other",-0.00385732938599678,0.0232703237851844,-0.165761741074383,0.86834445571727,-0.0494663259135439,0.0417516671415504
"51","Q35_2","~","Q68_inc_2",0.0343170799282945,0.02530513795065,1.35613091678139,0.175057517535425,-0.0152800790787973,0.0839142389353863
"52","Q35_2","~","Q68_inc_3",0.0209174880835304,0.0261156232064086,0.800956880033307,0.423156609269666,-0.0302681928348488,0.0721031690019096
"53","Q35_2","~","Q68_inc_4",0.00453773446069838,0.0251056080633717,0.180745849662123,0.856567068607769,-0.0446683531534886,0.0537438220748854
"54","Q35_2","~","Q68_inc_5",0.0165239994846442,0.0239053680734665,0.691225478472548,0.489423854822768,-0.0303296609765237,0.0633776599458122
"55","Q35_2","~","Q68_inc_6",-0.0289797881606885,0.0253056160279465,-1.14519196563658,0.25212964579964,-0.0785778841820632,0.0206183078606862
"56","Q35_2","~","Q11",-0.024270858428094,0.0241205699289159,-1.00623071924175,0.314304598257948,-0.071546306775349,0.0230045899191611
"57","Q35_2","~","Q64",0.0174643550049478,0.0294674553820198,0.592665867430277,0.553404788546044,-0.0402907962598521,0.0752195062697476
"58","Q35_2","~","Q66",-0.0232324602292808,0.0283054203084911,-0.820777786589219,0.411772853667423,-0.078710064601192,0.0322451441426303
"59","Q35_2","~","Q67",0.0206538980709504,0.0256575429101515,0.804983475747347,0.420829215385169,-0.0296339619647374,0.0709417581066383
"60","Q35_2","~","Q69",0.0695700847829292,0.0239147414079736,2.90908789671183,0.00362484931337059,0.0226980529237123,0.116442116642146
"61","Q35_2","~","Q70",-0.0549469855990754,0.0244491302347277,-2.24740042167342,0.0246144480912498,-0.102866400312471,-0.00702757088567985
"62","Q35_2","~","Q5",0.105366898914946,0.0273433837699708,3.85346962911965,0.00011645571458474,0.0517748515103458,0.158958946319545
"63","Q35_2","~","Q7_4",-0.106457751660626,0.0277299982904055,-3.83908251799134,0.000123494923655931,-0.160807549601178,-0.0521079537200735
"64","Q35_2","~","RECODED_Q6_activetransport",-0.0184567546955032,0.0334973799840649,-0.550990994050378,0.581639848251406,-0.0841104130407233,0.047196903649717
"65","Q35_2","~","RECODED_Q6_other",-0.0322917120590021,0.0242124315223158,-1.33368315483886,0.182307717708421,-0.0797472058208834,0.0151637817028792
"66","Q35_2","~","RECODED_Q6_publictransit",-0.0520601306902094,0.0327664124243463,-1.58882608251392,0.112099662961418,-0.116281118944514,0.012160857564095
"67","Q35_2","~","Q13",-0.0200160525497949,0.0278352909539544,-0.719089036392893,0.472086062050196,-0.0745722203187391,0.0345401152191493
"68","Q35_2","~","Q17",0.291937669169719,0.0219283644993209,13.3132440943674,0,0.248958864511184,0.334916473828255
"69","Q35_2","~","Q23",-0.0380623445091388,0.0230372352066539,-1.65220974512363,0.0984918005358058,-0.0832144958175586,0.00708980679928106
"70","Q35_2","~","Q30",-0.0683734888464836,0.0271071633375411,-2.5223402388177,0.0116576890853566,-0.121502552711109,-0.0152444249818586
"71","Q35_2","~1","",0.914601509701924,0.18915740829218,4.83513449438466,1.3305564336985e-06,0.543859802040312,1.28534321736354
"72","Q8_8","~~","Q8_8",0.80090717247,0.0221303440653883,36.1904528055943,0,0.75753249513636,0.844281849803641
"73","Q8_9","~~","Q8_9",0.677936618452564,0.0245731867227583,27.5884697455498,0,0.62977405749058,0.726099179414548
"74","Q8_10","~~","Q8_10",0.424500818947559,0.0241766530311381,17.5582955341596,0,0.377115449739807,0.471886188155311
"75","Q8_11","~~","Q8_11",0.363849648952668,0.0237188336258335,15.3401155677562,0,0.317361589290737,0.410337708614599
"76","Q8_12","~~","Q8_12",0.722755498001658,0.0239948953908192,30.1212189605208,0,0.675726367222846,0.76978462878047
"77","Q8_15","~~","Q8_15",0.713351702929775,0.0241419027480778,29.5482800330049,0,0.666034443025274,0.760668962834276
"78","Q8_1","~~","Q8_1",0.397311551828174,0.0308202536052026,12.8912486223379,0,0.336904964767586,0.457718138888762
"79","Q8_2","~~","Q8_2",0.534987456880344,0.0289188555903771,18.4996067776058,0,0.47830754144909,0.591667372311597
"80","Q8_3","~~","Q8_3",0.742663968736626,0.0252948484102314,29.3602854103774,0,0.693086976858173,0.79224096061508
"81","Q8_13","~~","Q8_13",0.79910642916878,0.0235246201763882,33.9689407598107,0,0.752999020873075,0.845213837464486
"82","Q34_1","~~","Q34_1",0.486594142768776,0.0222784833042627,21.8414393889944,0,0.442929117862244,0.530259167675308
"83","Q34_2","~~","Q34_2",0.237389992905969,0.0180224770615894,13.1718848688069,0,0.202066586953055,0.272713398858884
"84","Q34_3","~~","Q34_3",0.345820698570713,0.0198914419029517,17.3854012322453,0,0.306834188840357,0.384807208301069
"85","Q34_4","~~","Q34_4",0.456984534121485,0.0218331498060935,20.9307652894839,0,0.414192346832474,0.499776721410496
