"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"42","Q35_4","~","RECODED_Q63_asian",0.0713598744447799,0.343978018610885,0.207454751710468,0.835654726827674,-0.602824653506004,0.745544402395564
"43","Q35_4","~","RECODED_Q63_black",1.05053182822943,0.783932338251858,1.3400797198545,0.180219428582508,-0.485947321060482,2.58701097751934
"44","Q35_4","~","RECODED_Q63_hisp_lat",0.421192837448203,0.327157097848577,1.28743298011266,0.197943415308114,-0.220023291621654,1.06240896651806
"45","Q35_4","~","RECODED_Q63_more_than_one_race",0.661625364307153,0.298901705286445,2.21352154439233,0.0268617095809827,0.0757887870281145,1.24746194158619
"46","Q35_4","~","RECODED_Q63_nat_haw_pac",1.0175764842557,1.27698607927275,0.79685793038184,0.425533546144531,-1.48527023987789,3.5204232083893
"47","Q35_4","~","RECODED_Q63_other",1.12386701488961,0.994638875730608,1.12992468152231,0.258507962860669,-0.82558935916579,3.07332338894501
"48","Q35_4","~","Q65_female",0.21380365307046,0.217203667039818,0.984346424645148,0.32494521053033,-0.211907711637612,0.639515017778532
"49","Q35_4","~","Q65_nonbinary",-0.679998256197183,0.576486715352304,-1.17955581297588,0.238176926045708,-1.80989145585349,0.449894943459126
"50","Q35_4","~","Q65_other",-0.999240330353885,1.31663307560193,-0.758936068727471,0.447890801336958,-3.57979373938786,1.58131307868009
"51","Q35_4","~","Q68_inc_2",-0.380411553624817,0.306739438703258,-1.24017816304616,0.214909503449498,-0.981609806121233,0.2207866988716
"52","Q35_4","~","Q68_inc_3",-0.10372973181265,0.392108195966819,-0.264543646064027,0.791361037589841,-0.872247673950589,0.664788210325289
"53","Q35_4","~","Q68_inc_4",-0.618647256372522,0.490356343783719,-1.26162792470242,0.20708270303642,-1.57972802977935,0.342433517034309
"54","Q35_4","~","Q68_inc_5",-0.168049715271468,0.649579808056288,-0.258705263290613,0.795862658268621,-1.44120274414623,1.1051033136033
