"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper"
"19","bike_attitude","=~","Q21_8",0.436367151688593,0.0314831802675394,13.860326306949,0,0.374661252245433,0.498073051131752
"20","bike_attitude","=~","Q21_9",0.918990996866729,0.0462394651906772,19.8746026381814,0,0.828363310428608,1.00961868330485
"21","bike_attitude","=~","Q21_10",0.961012154728419,0.0462885127864162,20.7613530199751,0,0.870288336769122,1.05173597268772
"22","car_attitude","=~","Q15_1",1,0,NA,NA,1,1
"23","car_attitude","=~","Q15_2",0.919334904384802,0.0554999927131384,16.5645950466435,0,0.810556917524815,1.02811289124479
"24","car_attitude","=~","Q15_4",0.726783104532645,0.0446473582780083,16.2783002749489,0,0.639275890302893,0.814290318762398
"25","car_attitude","=~","Q15_6",1.07322644149242,0.0675297019703734,15.892657751744,0,0.940870657743763,1.20558222524107
"26","car_attitude","=~","Q15_8",0.657674110560954,0.0434321354149016,15.1425690742184,0,0.57254868937608,0.742799531745828
"27","escooter_attitude","=~","Q28_1",1,0,NA,NA,1,1
"28","escooter_attitude","=~","Q28_2",0.728824491736708,0.0357563397657339,20.3830844127719,0,0.658743353576892,0.798905629896524
"29","escooter_attitude","=~","Q28_3_r",0.421312923249146,0.03074168947151,13.7049371876454,0,0.361060319061072,0.48156552743722
"30","escooter_attitude","=~","Q28_4",0.415018334543782,0.02933194233371,14.1490232669256,0,0.357528783973105,0.472507885114459
"31","escooter_attitude","=~","Q28_8",0.870925967629576,0.0415650684776617,20.9533148753896,0,0.789459930398418,0.952392004860734
"32","escooter_attitude","=~","Q28_9",0.549717287653197,0.0345980453642897,15.8886804692321,0,0.481906364803707,0.617528210502688
"33","escooter_attitude","=~","Q28_10",0.954781447795638,0.0398236802663953,23.9752187996878,0,0.876728468741665,1.03283442684961
"34","escooter_attitude","=~","Q28_11",0.70906490478643,0.0354694304169788,19.9908737312852,0,0.639546098617002,0.778583710955858
"35","Q35_3","~","comf_saf",-0.180012851797874,0.142620026236186,-1.26218495781065,0.206882240094729,-0.459542966694955,0.0995172630992079
"36","Q35_3","~","ex_env",0.0173570464164308,0.0660404426448673,0.262824501491736,0.792685849788869,-0.112079842690592,0.146793935523454
"37","Q35_3","~","car_attitude",-0.138379846180856,0.0846380049984367,-1.63496110504273,0.102057201491594,-0.304267287701113,0.0275075953394008
"38","Q35_3","~","MAX_attitude",0.0563893810846173,0.0725966184323876,0.776749417565988,0.437306624941728,-0.0858973764422589,0.198676138611494
"39","Q35_3","~","bike_attitude",0.0266033389634264,0.0824835100363192,0.322529181308026,0.747051834404378,-0.135061370026207,0.18826804795306
"40","Q35_3","~","escooter_attitude",0.926633107933224,0.070145910020914,13.2100803547484,0,0.789149650629445,1.064116565237
"41","Q35_3","~","RECODED_Q63_am_ind_ala",0.0559454822475591,0.607449145727352,0.0920990384809427,0.926619352388045,-1.13463296581767,1.24652393031279
"42","Q35_3","~","RECODED_Q63_asian",0.0688259776414431,0.136927118427483,0.502646798032879,0.615212620657198,-0.199546242983274,0.33719819826616
"43","Q35_3","~","RECODED_Q63_black",0.0103848314553685,0.315901688681778,0.0328736180509298,0.973775371166911,-0.6087711010163,0.629540763927037
"44","Q35_3","~","RECODED_Q63_hisp_lat",-0.0417728659245916,0.14336812617095,-0.291367872624508,0.770769983038629,-0.322769229750647,0.239223497901464
"45","Q35_3","~","RECODED_Q63_more_than_one_race",0.170369417330542,0.133751453027034,1.27377619812554,0.202742742840512,-0.091778613482345,0.43251744814343
"46","Q35_3","~","RECODED_Q63_nat_haw_pac",-0.723859403628963,0.564763542116301,-1.28170349119296,0.199946679795382,-1.83077560595818,0.383056798700256
"47","Q35_3","~","RECODED_Q63_other",-0.00715661537550687,0.41379398580132,-0.0172951169448438,0.986201181135436,-0.818177924565373,0.803864693814359
"48","Q35_3","~","Q65_female",-0.0269494222801618,0.0953375611581842,-0.282673711733063,0.777426969694941,-0.213807608524087,0.159908763963764
"49","Q35_3","~","Q65_nonbinary",-0.497072199157698,0.244238881345336,-2.03518864981564,0.0418318946719982,-0.975771610218908,-0.0183727880964873
"50","Q35_3","~","Q65_other",1.41537147499221,0.580308268217194,2.43899932589358,0.0147279957308533,0.277988169355696,2.55275478062871
"51","Q35_3","~","Q68_inc_2",0.38986124310085,0.134303167229611,2.90284474404334,0.00369789909721741,0.126631872321152,0.653090613880547
"52","Q35_3","~","Q68_inc_3",0.301866051123275,0.176984503834834,1.70560724008347,0.0880812304744774,-0.0450172022146914,0.648749304461241
"53","Q35_3","~","Q68_inc_4",0.244012996497719,0.22549555216493,1.08211888950805,0.279199703351902,-0.197950164419517,0.685976157414955
"54","Q35_3","~","Q68_inc_5",0.0792832958392537,0.288465137419595,0.274845329832457,0.783435070494721,-0.48609798429855,0.644664575977058
"55","Q35_3","~","Q68_inc_6",0.241972566702457,0.288430666176314,0.838928016601891,0.401509704920496,-0.323341151040013,0.807286284444928
