"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"50","Q35_3","~","Q65_other",0.058712213554636,0.0240206563591385,2.44423852024757,0.0145158261519533,0.0116325922057116,0.10579183490356
"51","Q35_3","~","Q68_inc_2",0.0761674231602843,0.0261591851777275,2.91168943691468,0.00359479853412203,0.0248963623470243,0.127438483973544
"52","Q35_3","~","Q68_inc_3",0.0461085972512368,0.0270052159646786,1.70739598274439,0.087748476548646,-0.00682065343425926,0.0990378479367329
"53","Q35_3","~","Q68_inc_4",0.0282422543947992,0.0260880284035662,1.08257527007823,0.278996988951586,-0.0228893417038485,0.0793738504934469
"54","Q35_3","~","Q68_inc_5",0.00681052856875433,0.0247788215953621,0.274852802928653,0.78342932884234,-0.0417550693374988,0.0553761264750074
"55","Q35_3","~","Q68_inc_6",0.0219084640291762,0.0261082154845649,0.83914061618376,0.401390406289478,-0.0292626980211819,0.0730796260795342
"56","Q35_3","~","Q11",0.0132210052483581,0.024948803055182,0.529925432459254,0.596163632130209,-0.0356777501971815,0.0621197606938977
"57","Q35_3","~","Q64",-0.0120968058249353,0.0301902944892943,-0.400685254303328,0.688651868587618,-0.0712686957066101,0.0470750840567396
"58","Q35_3","~","Q66",-0.0423696479632186,0.0293080667132052,-1.44566505794558,0.148271169444141,-0.099812403177598,0.0150731072511608
"59","Q35_3","~","Q67",0.00258105264729838,0.0263229181179839,0.0980534390499431,0.921889859544784,-0.0490109188319469,0.0541730241265437
"60","Q35_3","~","Q69",-0.0162044467138893,0.0250283538818644,-0.647443567019046,0.517344906934695,-0.0652591189146667,0.0328502254868882
"61","Q35_3","~","Q70",-0.00372866164546094,0.0254159203909299,-0.146705749314181,0.883364280414156,-0.0535429502456207,0.0460856269546988
"62","Q35_3","~","Q5",0.0221496334623145,0.0281766582156771,0.786098666945206,0.431809685225727,-0.0330756018451073,0.0773748687697362
